品牌/Brand,車型/Model,資訊/Info,年份/Year,冷媒/Refrigerant,冷媒量/Amount (g),冷凍油/Oil (cc)
車型 / Car model /  Car model,HR-V / HR-V, / ,1999 - 2005,R134a,620 ± 20,110 ± 10
車型 / Car model /  Car model,HR-V / HR-V, / ,2015 -,R134a,430 ± 20,80 ± 10
車型 / Car model /  Car model,Insight / Insight, / ,2000 - 2005,R134a,520 ± 20,100 ± 10
車型 / Car model /  Car model,Insight / Insight, / ,2009 - 2013,R134a,470 ± 20,90 ± 10
車型 / Car model /  Car model,Jazz 1 / Jazz 1, / ,2001 - 2008,R134a,450 ± 20,80 ± 10
車型 / Car model /  Car model,Jazz 2 / Jazz 2, / ,2008 - 2015,R134a,380 ± 10,70 ± 10
車型 / Car model /  Car model,Jazz 3 / Jazz 3, / ,2015 -,R134a,400 ± 10,70 ± 10
車型 / Car model /  Car model,Legend / Legend, / ,1993 - 1996,R134a,770 ± 20,130 ± 10
車型 / Car model /  Car model,Legend / Legend, / ,1996 - 2002,R134a,720 ± 20,120 ± 10
車型 / Car model /  Car model,Legend / Legend, / ,2006 - 2015,R134a,470 ± 10,90 ± 10
車型 / Car model /  Car model,LEGEND / LEGEND,Denso / Denso,1987 - 1990,R12 → R134a,900 ± 50,80
車型 / Car model /  Car model,LEGEND / LEGEND,Matsushita / Matsushita,1987 - 1990,R12 → R134a,900 ± 50,130
車型 / Car model /  Car model,LEGEND / LEGEND, / ,1990 - 1992,R12 → R134a,750 ± 50,120
車型 / Car model /  Car model,LEGEND / LEGEND,Denso / Denso,1993 - 1996,R134a,775 ± 25,180
車型 / Car model /  Car model,LEGEND / LEGEND,Hadsys / Hadsys,1993 - 1996,R134a,775 ± 25,180
車型 / Car model /  Car model,LEGEND / LEGEND, / ,1996 - 2004,R134a,725 ± 25,140
車型 / Car model /  Car model,LEGEND / LEGEND, / ,2006 -,R134a,475,120
車型 / Car model /  Car model,LOGO / LOGO,Matsushita / Matsushita,1999 - 2002,R134a,525 ± 25,135 ± 5
車型 / Car model /  Car model,LOGO / LOGO,Sanden / Sanden,1999 - 2002,R134a,525 ± 25,140 ± 10
車型 / Car model /  Car model,NSX / NSX, / ,1997 - 2005,R134a,820 ± 20,150 ± 10
車型 / Car model /  Car model,NSX / NSX, / ,2016 -,R134a,480 ± 10,80 ± 10
車型 / Car model /  Car model,Odyssey / Odyssey, / ,1995 - 2000,R134a,830 ± 30,150 ± 20
車型 / Car model /  Car model,Odyssey / Odyssey, / ,2003 - 2008,R134a,710 ± 20,130 ± 10
車型 / Car model /  Car model,Odyssey / Odyssey, / ,2008 - 2013,R134a,700 ± 20,130 ± 10
車型 / Car model /  Car model,Odyssey / Odyssey, / ,2013 -,R134a,680 ± 20,120 ± 10
車型 / Car model /  Car model,Prelude / Prelude, / ,1997 - 2001,R134a,720 ± 20,130 ± 10
車型 / Car model /  Car model,PRELUDE RHD / PRELUDE RHD, / ,1987 - 1992,R12 → R134a,850 ± 50,130
車型 / Car model /  Car model,PRELUDE / PRELUDE, / ,1992 - 1993,R12 → R134a,775 ± 25,130 ± 10
車型 / Car model /  Car model,PRELUDE LHD / PRELUDE LHD, / ,1987 - 1992,R12 → R134a,900 ± 50,130
車型 / Car model /  Car model,PRELUDE / PRELUDE, / ,1997 - 2001,R134a,725 ± 25,140 ± 10
車型 / Car model /  Car model,PRELUDE LHD / PRELUDE LHD, / ,1994 - 1996,R134a,675 ± 25,120
車型 / Car model /  Car model,PRELUDE RHD / PRELUDE RHD, / ,1994 - 1996,R134a,625 ± 25,120
車型 / Car model /  Car model,S2000 / S2000, / ,2000 - 2009,R134a,620 ± 20,110 ± 10
車型 / Car model /  Car model,S660 / S660, / ,2015 -,R134a,280 ± 10,60 ± 10
車型 / Car model /  Car model,SHUTTLE / SHUTTLE,With rear AC / With rear AC,1995 - 2001,R134a,825 ± 25,160
車型 / Car model /  Car model,Shuttle / Shuttle, / ,2011 - 2016,R134a,460 ± 10,100 ± 10
車型 / Car model /  Car model,Stepwagon / Stepwagon, / ,2015 -,R134a,680 ± 20,120 ± 10
車型 / Car model /  Car model,Stream 1Blower/2Blower / Stream 1Blower/2Blower, / ,2001 - 2006,R134a,520 ± 700,110 ± 150
車型 / Car model /  Car model,STREAM 1.7 / STREAM 1.7, / ,2001 - 2006,R134a,525 ± 25,140 ± 10
車型 / Car model /  Car model,STREAM 2.0 / STREAM 2.0, / ,2001 - 2006,R134a,525 ± 25,165 ± 10
車型 / Car model /  Car model,Stream / Stream, / ,2006 - 2015,R134a,680 ± 10,120 ± 10
HYUNDAI / HYUNDAI,"此充填冷媒量僅供參考,正確請以原廠標示為準 / This refrigerant filling amount is for reference only. For correctness, please refer to the original factory label.", / ,,,,
車型 / Car model /  Car model,Accent / Accent, / ,1994 - 1999,R134a,670 ± 20,110 ± 10
車型 / Car model /  Car model,Accent / Accent, / ,2000 - 2003,R134a,600 ± 20,100 ± 10
車型 / Car model /  Car model,Accent / Accent, / ,2003 - 2005,R134a,550 ± 20,100 ± 10
車型 / Car model /  Car model,Accent / Accent, / ,2006 - 2010,R134a,500 ± 20,90 ± 10
車型 / Car model /  Car model,Accent / Accent, / ,2011 - 2016,R134a,420 ± 10,80 ± 10
車型 / Car model /  Car model,Accent / Accent, / ,2017 -,R134a,420 ± 10,80 ± 10
車型 / Car model /  Car model,ATOS / ATOZ / ATOS / ATOZ, / ,1998 - 2004,R134a,650 ± 25,150
車型 / Car model /  Car model,Atos / Atos, / ,2004 - 2009,R134a,450 ± 10,80 ± 10
車型 / Car model /  Car model,Coupe / Coupe, / ,1996 - 2002,R134a,680 ± 20,130 ± 10
車型 / Car model /  Car model,Coupe / Coupe, / ,2003 - 2009,R134a,600 ± 20,110 ± 10
車型 / Car model /  Car model,COUPE / COUPE, / ,2002 - 2011,R134a,600 ± 25,150 ± 10
車型 / Car model /  Car model,COUPE / COUPE, / ,1996 - 2001,R134a,700 ± 25,180 ± 10
車型 / Car model /  Car model,Elantra / Elantra, / ,1994 - 1996,R134a,650 ± 20,120 ± 10
車型 / Car model /  Car model,Elantra / Elantra, / ,1996 - 2000,R134a,680 ± 20,120 ± 10
車型 / Car model /  Car model,Elantra / Elantra, / ,2000 - 2006,R134a,670 ± 20,120 ± 10
車型 / Car model /  Car model,Elantra / Elantra, / ,2007 - 2011,R134a,500 ± 20,90 ± 10
車型 / Car model /  Car model,Elantra / Elantra, / ,2001 - 2017,R134a,480 ± 20,90 ± 10
車型 / Car model /  Car model,Elantra / Elantra,HS15 / HS15,2001 - 2006,R134a,680 ± 25,150 ± 10
車型 / Car model /  Car model,Elantra / Elantra,10PA15C / 10PA15C,2001 - 2006,R134a,680 ± 25,125 ± 10
車型 / Car model /  Car model,Getz / Getz, / ,2002 - 2010,R134a,480 ± 20,90 ± 10
車型 / Car model /  Car model,GENISIS / GENISIS, / ,2008 -,R134a,570 ± 25,180
車型 / Car model /  Car model,GETZ / GETZ, / ,2002 - 2009,R134a,500 ± 25,120 ± 10
車型 / Car model /  Car model,GRANDEUR / GRANDEUR, / ,2005 - 2010,R134a,500 ± 25,180
車型 / Car model /  Car model,H100 / H100, / ,1993 - 2006,R134a,650 ± 25,180 ± 10
車型 / Car model /  Car model,H100 / H100,With rear AC / With rear AC,1993 - 2006,R134a,1400 ± 50,180 ± 10
車型 / Car model /  Car model,H-1 / H-1, / ,2008 -,R134a,650 ± 25,150 ± 10
車型 / Car model /  Car model,H-1 / H-1,With rear AC / With rear AC,2008 -,R134a,850 ± 25,210 ± 10
車型 / Car model /  Car model,I10 GAS / I10 GAS, / ,2007 -,R134a,450 ± 25,110
車型 / Car model /  Car model,I10 DIESEL / I10 DIESEL, / ,2007 -,R134a,450 ± 25,90
車型 / Car model /  Car model,i10 / i10, / ,2007 - 2013,R134a,420 ± 10,80 ± 10
車型 / Car model /  Car model,i10 / i10, / ,2013 -,R134a,400 ± 10,80 ± 10
車型 / Car model /  Car model,I20 1.2l / I20 1.2l, / ,2007 -,R134a,450 ± 25,90
車型 / Car model /  Car model,I20 1.6l / I20 1.6l, / ,2008 -,R134a,450 ± 25,120
車型 / Car model /  Car model,i20 / i20, / ,2008 - 2015,R134a,450 ± 10,90 ± 10
車型 / Car model /  Car model,i20 / i20, / ,2015 -,R134a,430 ± 10,80 ± 10
車型 / Car model /  Car model,i30 / i30, / ,2007 - 2012,R134a,500 ± 20,90 ± 10
車型 / Car model /  Car model,i30 / i30, / ,2011 - 2016,R134a,500 ± 20,90 ± 10
車型 / Car model /  Car model,i30 / i30, / ,2016 -,R134a,500 ± 20,90 ± 10
車型 / Car model /  Car model,ix35 / ix35, / ,2010 -,R134a,510 ± 25,120
車型 / Car model /  Car model,i40 / i40, / ,2016 -,R134a,550 ± 20,100 ± 10
車型 / Car model /  Car model,LANTRA / LANTRA, / ,1991 - 1993,R12 → R134a,900,115 ± 5
車型 / Car model /  Car model,LANTRA / LANTRA, / ,1994 -,R12 → R134a,875 ± 25,150 ± 10
車型 / Car model /  Car model,LANTRA / LANTRA, / ,1994 - 1996,R134a,675 ± 5,150 ± 10
車型 / Car model /  Car model,LANTRA / LANTRA, / ,1996 - 2000,R134a,700 ± 25,180 ± 10
車型 / Car model /  Car model,Ioniq Hybrid/Electric / Ioniq Hybrid/Electric, / ,2017 -,R134a,550 ± 600,100 ± 10
車型 / Car model /  Car model,Ioniq 5 / Ioniq 5, / ,2022 -,R134a,See Spec,見規格 / See Spec
車型 / Car model /  Car model,Kona / Kona, / ,2019 -,R134a,500 ± 20,90 ± 10
車型 / Car model /  Car model,Matrix / Matrix, / ,2001 - 2011,R134a,550 ± 20,100 ± 10
車型 / Car model /  Car model,PONY / PONY,DKK / DKK,1985 - 1990,R12 → R134a,900 ± 50,150
車型 / Car model /  Car model,PONY / PONY,Mando / Mando,1985 - 1990,R12 → R134a,900 ± 50,175
車型 / Car model /  Car model,PONY / PONY, / ,1991 - 1993,R12 → R134a,875 ± 25,240
車型 / Car model /  Car model,PONY / PONY, / ,1994 -,R12 → R134a,875 ± 25,210 ± 10
車型 / Car model /  Car model,PONY / PONY, / ,1994 -,R134a,690 ± 10,210 ± 10
車型 / Car model /  Car model,PONY / PONY, / ,2002 - 2012,R134a,650 ± 900,110 ± 160
車型 / Car model /  Car model,S COUPE / S COUPE, / ,1992 - 1993,R12 → R134a,875 ± 25,80 ± 20
車型 / Car model /  Car model,S COUPE / S COUPE, / ,1994 -,R12 → R134a,875 ± 25,210 ± 10
車型 / Car model /  Car model,S COUPE / S COUPE, / ,1994 - 1995,R134a,675 ± 25,150 ± 10
車型 / Car model /  Car model,SANTA FE / SANTA FE, / ,2001 - 2006,R134a,600 ± 25,170
車型 / Car model /  Car model,SANTA FE / SANTA FE, / ,2006 -,R134a,600 ± 25,150
車型 / Car model /  Car model,SANTA FE / SANTA FE,With rear AC / With rear AC,2006 -,R134a,850 ± 25,210
車型 / Car model /  Car model,Santa Fe 1Blower/2Blower / Santa Fe 1Blower/2Blower, / ,2012 - 2018,R134a,700 ± 1000,130 ± 150
車型 / Car model /  Car model,Sonata / Sonata, / ,1988 - 1992,R12 → R134a,875 ± 25,210 ± 10
車型 / Car model /  Car model,Sonata / Sonata, / ,1993 - 1997,R134a,720 ± 20,120 ± 10
車型 / Car model /  Car model,Sonata / Sonata, / ,1998 - 2001,R134a,700 ± 20,120 ± 10
車型 / Car model /  Car model,Sonata / Sonata, / ,2001 - 2005,R134a,700 ± 20,120 ± 10
車型 / Car model /  Car model,Sonata / Sonata, / ,2005 - 2010,R134a,550 ± 10,100 ± 10
車型 / Car model /  Car model,Sonata / Sonata, / ,2010 - 2015,R134a,550 ± 10,100 ± 10
車型 / Car model /  Car model,STAREX / H1 / H200 / STAREX / H1 / H200,F10 / F10,1997 -,R134a,650 ± 25,210 ± 10
車型 / Car model /  Car model,STAREX / H1 / H200 / STAREX / H1 / H200,MSC-130CV / MSC-130CV,1997 -,R134a,650 ± 25,235 ± 5
車型 / Car model /  Car model,STAREX / H1 / H200 / STAREX / H1 / H200,V6(CWV618) / V6(CWV618),1997 -,R134a,650 ± 25,250
車型 / Car model /  Car model,STAREX / H1 / H200 / STAREX / H1 / H200,FS10/with rear AC / FS10/with rear AC,1997 -,R134a,1300 ± 10,210 ± 10
車型 / Car model /  Car model,STAREX / H1 / H200 / STAREX / H1 / H200,MSC-130CV/with rear AC / MSC-130CV/with rear AC,1997 -,R134a,1300 ± 10,235 ± 5
車型 / Car model /  Car model,STAREX / H1 / H200 / STAREX / H1 / H200,V6(CWV618)/with rear AC / V6(CWV618)/with rear AC,1997 -,R134a,1300 ± 10,250
車型 / Car model /  Car model,Starex 2Blower / Starex 2Blower, / ,2008 - 2015,R134a,1200 ± 20,160 ± 20
車型 / Car model /  Car model,TERRACAN / TERRACAN, / ,2001 - 2006,R134a,850 ± 25,180
車型 / Car model /  Car model,TRAJET / TRAJET, / ,2000 - 2008,R134a,670,150
車型 / Car model /  Car model,TRAJET / TRAJET,With rear AC / With rear AC,2000 - 2008,R134a,850,210
車型 / Car model /  Car model,Trajet 2Blower / Trajet 2Blower, / ,2000 - 2008,R134a,850 ± 20,140 ± 10
車型 / Car model /  Car model,Tucson / Tucson, / ,2004 - 2010,R134a,510 ± 10,90 ± 10
車型 / Car model /  Car model,Tucson / Tucson, / ,2015 -,R134a,510 ± 10,90 ± 10
車型 / Car model /  Car model,Veloster / Veloster, / ,2011 - 2018,R134a,420 ± 10,80 ± 10
車型 / Car model /  Car model,XG / XG, / ,1999 - 2003,R134a,670 ± 25,150
ISUZU / ISUZU,"此充填冷媒量僅供參考,正確請以原廠標示為準 / This refrigerant filling amount is for reference only. For correctness, please refer to the original factory label.", / ,,,,
車型 / Car model /  Car model,CAMPO DIESEL / CAMPO DIESEL, / ,1990 - 2003,R134a,750,260
車型 / Car model /  Car model,RODEO / RODEO, / ,2003 -,R134a,650,180
車型 / Car model /  Car model,TF / TF, / ,2002 - 2003,R134a,650,100
車型 / Car model /  Car model,TROOPER / TROOPER, / ,1994 - 1998,R134a,750,270
車型 / Car model /  Car model,TROOPER / TROOPER, / ,1998 - 2003,R134a,750,150
車型 / Car model /  Car model,TROOPER / TROOPER,DKS-17CH / DKS-17CH,1992 - 1994,R12 → R134a,850,150
車型 / Car model /  Car model,TROOPER / TROOPER,DCV-14A / DCV-14A,1992 - 1994,R12 → R134a,850,150
車型 / Car model /  Car model,TROOPER DIESEL / TROOPER DIESEL, / ,1994 - 1998,R134a,750,270
車型 / Car model /  Car model,TROOPER DIESEL / TROOPER DIESEL, / ,1998 - 2003,R134a,750,150
IVECO / IVECO,"此充填冷媒量僅供參考,正確請以原廠標示為準 / This refrigerant filling amount is for reference only. For correctness, please refer to the original factory label.", / ,,,,
車型 / Car model /  Car model,DAILY COMB ENG./MOT.F1A / DAILY COMB ENG./MOT.F1A,ND10PA17 / ND10PA17,2002 - 2006,R134a,1400,160
車型 / Car model /  Car model,DAILY ENG./MOT.8140 / DAILY ENG./MOT.8140,NDSC08 / NDSC08,1996 - 2002,R134a,920,80
車型 / Car model /  Car model,DAILY ENG./MOT.8140 / DAILY ENG./MOT.8140,ND10PA17 / ND10PA17,1996 - 2002,R134a,920,160
車型 / Car model /  Car model,DAILY ENG./MOT.F1A / DAILY ENG./MOT.F1A,ND10PA17 / ND10PA17,2002 - 2006,R134a,920,160
車型 / Car model /  Car model,DAILY ENG./MOT.F1C / DAILY ENG./MOT.F1C,ND10PA17 / ND10PA17,2002 - 2006,R134a,640,160
車型 / Car model /  Car model,DAILY(F1A) / DAILY(F1A), / ,2006 -,R134a,720,80 ± 20
車型 / Car model /  Car model,DAILY(F1A) / DAILY(F1A),BUS / BUS,2006 -,R134a,1200,80 ± 20
車型 / Car model /  Car model,DAILY(F1C) / DAILY(F1C), / ,2006 -,R134a,440,80 ± 20
車型 / Car model /  Car model,EUROCARGO 150 ENG./MOT.8040 / EUROCARGO 150 ENG./MOT.8040,SD709 / SD709,1991 - 2001,R134a,1700,135
車型 / Car model /  Car model,EUROCARGO 150 ENG./MOT.8060 / EUROCARGO 150 ENG./MOT.8060,SD709 / SD709,1996 - 2000,R134a,1700,135
車型 / Car model /  Car model,EUROCARGO 180 ENG./MOT NEF / EUROCARGO 180 ENG./MOT NEF,SD7H15 / SD7H15,2000 -,R134a,640,135
車型 / Car model /  Car model,EUROCARGO 60 ENG./MOT 8040 / EUROCARGO 60 ENG./MOT 8040,SD709 / SD709,1991 - 2001,R134a,1700,135
車型 / Car model /  Car model,EUROCARGO 60 ENG./MOT 8060 / EUROCARGO 60 ENG./MOT 8060,SD709 / SD709,1996 - 2000,R134a,1700,135
車型 / Car model /  Car model,EUROCARGO 60 ENG./MOT.NEF / EUROCARGO 60 ENG./MOT.NEF,SD7H15 / SD7H15,2000 -,R134a,640,135
車型 / Car model /  Car model,EUROCARGO TECTOR 180 ENG./MOT NEF / EUROCARGO TECTOR 180 ENG./MOT NEF,SD7H15 / SD7H15,2000 -,R134a,1220,135
車型 / Car model /  Car model,EUROCARGO TECTOR 60 ENG./MOT NEF / EUROCARGO TECTOR 60 ENG./MOT NEF,SD7H15 / SD7H15,2000 -,R134a,1220,135
車型 / Car model /  Car model,EUROCARGO SERIE 8000 / EUROCARGO SERIE 8000,SD709/Frontal / SD709/Frontal,1993 -,R134a,1900,135
車型 / Car model /  Car model,EUROCARGO SERIE CURSOR / EUROCARGO SERIE CURSOR,ND10PA17/Frontal / ND10PA17/Frontal,1999 -,R134a,1900,160
車型 / Car model /  Car model,EUROCARGO SERIE 8000 / EUROCARGO SERIE 8000,SD709/Frontal / SD709/Frontal,1993 -,R134a,1900,135
車型 / Car model /  Car model,EUROCARGO SERIE CURSOR / EUROCARGO SERIE CURSOR,ND10PA17/Frontal / ND10PA17/Frontal,1999 -,R134a,1900,160
車型 / Car model /  Car model,EUROTRAKKER SERIE 8000 / EUROTRAKKER SERIE 8000,SD709/Frontal / SD709/Frontal,1993 -,R134a,1900,135
車型 / Car model /  Car model,EUROTRAKKER SERIE CURSOR / EUROTRAKKER SERIE CURSOR,ND10PA17/Frontal / ND10PA17/Frontal,1999 -,R134a,1900,160
車型 / Car model /  Car model,TRAKKER / TRAKKER, / ,2004 -,R134a,700,200
車型 / Car model /  Car model,STRALIS / STRALIS,ND10PA17/Frontal+bdh / ND10PA17/Frontal+bdh,2002 -,R134a,900,160
車型 / Car model /  Car model,STRALIS AT/AD / STRALIS AT/AD, / ,2001 - 2005,R134a,700,180
車型 / Car model /  Car model,STRALIS AT/AD / STRALIS AT/AD,Side / Side,2001 - 2005,R134a,1400,200
JAGUAR / JAGUAR,"此充填冷媒量僅供參考,正確請以原廠標示為準 / This refrigerant filling amount is for reference only. For correctness, please refer to the original factory label.", / ,,,,
車型 / Car model /  Car model,S-TYPE / S-TYPE, / ,1999 - 2002,R134a,800 ± 25,210
車型 / Car model /  Car model,S-TYPE / S-TYPE, / ,2002 - 2008,R134a,750 ± 25,210
車型 / Car model /  Car model,"S-TYPE  2,7D / S-TYPE  2,7D", / ,2002 - 2008,R134a,700 ± 50,210
車型 / Car model /  Car model,XF / XF, / ,2008 -,R134a,700 ± 25,130
車型 / Car model /  Car model,XJ / XJ, / ,2010 -,R134a,700 ± 25,110
車型 / Car model /  Car model,XJ12/DOUBLE SIX / XJ12/DOUBLE SIX, / ,1990 - 1992,R12 → R134a,1580 ± 28,見規格 / See Spec
車型 / Car model /  Car model,XJ12/DOUBLE SIX / XJ12/DOUBLE SIX, / ,1993 - 1994,R134a,1150 ± 23,135 ± 15
車型 / Car model /  Car model,XJ12/DOUBLE SIX / XJ12/DOUBLE SIX, / ,1994 - 1997,R134a,1100 ± 50,190 ± 10
車型 / Car model /  Car model,XJ6/SOVEREIGN / XJ6/SOVEREIGN,Sanden / Sanden,1986 - 1992,R12 → R134a,1127 ± 25,135
車型 / Car model /  Car model,XJ6/SOVEREIGN / XJ6/SOVEREIGN,GM / GM,1986 - 1992,R12 → R134a,1127 ± 25,199
車型 / Car model /  Car model,XJ6/SOVEREIGN / XJ6/SOVEREIGN, / ,1993 - 1994,R134a,1150 ± 23,135 ± 15
車型 / Car model /  Car model,XJ6/XJ8/XJR / XJ6/XJ8/XJR, / ,2003 - 2010,R134a,650 ± 25,140
車型 / Car model /  Car model,XJ6/XJ8/XJR / XJ6/XJ8/XJR,With rear AC / With rear AC,2003 - 2010,R134a,800 ± 25,180
車型 / Car model /  Car model,XJ6/XJR / XJ6/XJR, / ,1994 - 1997,R134a,1100 ± 50,190 ± 10
車型 / Car model /  Car model,XJ8/XJR / XJ8/XJR, / ,1997 - 2003,R134a,675 ± 25,180 ± 20
車型 / Car model /  Car model,XJS / XJS,Sanden / Sanden,1988 - 1993,R12 → R134a,See Spec,135
車型 / Car model /  Car model,XJS / XJS,GM / GM,1988 - 1993,R12 → R134a,See Spec,199
車型 / Car model /  Car model,XJS / XJS, / ,1993 - 1997,R134a,925 ± 25,135 ± 15
車型 / Car model /  Car model,XK8/XKR/XKR 4.2 / XK8/XKR/XKR 4.2, / ,1997 - 2006,R134a,650 ± 50,180 ± 20
車型 / Car model /  Car model,XKR / XKR, / ,2006 -,R134a,700 ± 25,130
車型 / Car model /  Car model,X-TYPE / X-TYPE, / ,2001 - 2009,R134a,810 ± 15,220
JEEP / JEEP,"此充填冷媒量僅供參考,正確請以原廠標示為準 / This refrigerant filling amount is for reference only. For correctness, please refer to the original factory label.", / ,,,,
車型 / Car model /  Car model,CHEROKEE / CHEROKEE, / ,1992 - 1993,R12 → R134a,1100,136
車型 / Car model /  Car model,CHEROKEE / CHEROKEE, / ,1994 - 1996,R134a,900,240
車型 / Car model /  Car model,CHEROKEE / CHEROKEE, / ,1997 - 2001,R134a,567,240
車型 / Car model /  Car model,CHEROKEE / CHEROKEE, / ,2001 - 2008,R134a,735,230
車型 / Car model /  Car model,CHEROKEE / CHEROKEE, / ,2008 -,R134a,510,150
車型 / Car model /  Car model,GRAND CHEROKEE(93-99) / GRAND CHEROKEE(93-99), / ,1993 - 1996,R134a,795,230
車型 / Car model /  Car model,GRAND CHEROKEE(93-99) / GRAND CHEROKEE(93-99), / ,1997 - 1999,R134a,768 ± 31,225 ± 5
車型 / Car model /  Car model,GRAND CHEROKEE(93-99) DIESEL / GRAND CHEROKEE(93-99) DIESEL, / ,1993 - 1996,R134a,900,230
車型 / Car model /  Car model,GRAND CHEROKEE(99-) / GRAND CHEROKEE(99-), / ,1999 - 2005,R134a,765,130
車型 / Car model /  Car model,GRAND CHEROKEE / GRAND CHEROKEE, / ,2005 - 2010,R134a,680,130
車型 / Car model /  Car model,GRAND CHEROKEE / GRAND CHEROKEE, / ,2010 -,R134a,680,130
車型 / Car model /  Car model,PATRITO / PATRITO, / ,2008 -,R134a,510,110
車型 / Car model /  Car model,WARNGLER / WARNGLER, / ,1994 - 1996,R134a,900,240
車型 / Car model /  Car model,WARNGLER / WARNGLER, / ,1997 - 1999,R134a,567,240
車型 / Car model /  Car model,WARNGLER / WARNGLER, / ,1999 - 2006,R134a,567,240
車型 / Car model /  Car model,"WARNGLER 2,8 CRDI 3,8 / WARNGLER 2,8 CRDI 3,8", / ,2007 -,R134a,510,150
KIA / KIA,"此充填冷媒量僅供參考,正確請以原廠標示為準 / This refrigerant filling amount is for reference only. For correctness, please refer to the original factory label.", / ,,,,
車型 / Car model /  Car model,CARENS / CARENS, / ,1999 - 2002,R134a,850 ± 50,120
車型 / Car model /  Car model,CARENS / CARENS, / ,2002 - 2006,R134a,680 ± 20,200
車型 / Car model /  Car model,CARENS / CARENS, / ,2006 -,R134a,450 ± 25,180
車型 / Car model /  Car model,Carens / Carens, / ,2002 - 2006,R134a,650 ± 20,120 ± 10
車型 / Car model /  Car model,Carens / Carens, / ,2006 - 2013,R134a,450 ± 10,90 ± 10
車型 / Car model /  Car model,Carens / Carens, / ,2013 - 2016,R134a,550 ± 20,100 ± 10
車型 / Car model /  Car model,CARNIVAL / SEDONA / CARNIVAL / SEDONA, / ,2000 - 2006,R134a,1150 ± 50,200
車型 / Car model /  Car model,CARNIVAL / CARNIVAL, / ,2006 -,R134a,800 ± 25,110 ± 10
車型 / Car model /  Car model,Carnival / Carnival, / ,2006 - 2013,R134a,950 ± 20,170 ± 10
車型 / Car model /  Car model,CEED / CEED, / ,2007 -,R134a,500,150
車型 / Car model /  Car model,CERATO / CERATO, / ,2004 - 2008,R134a,500 ± 25,120 ± 10
車型 / Car model /  Car model,Cerato / Cerato, / ,2013 - 2017,R134a,480 ± 10,90 ± 10
車型 / Car model /  Car model,CLARUS / CREDO 1.8 / CLARUS / CREDO 1.8, / ,1996 - 2001,R134a,700 ± 50,150 ± 10
車型 / Car model /  Car model,CLARUS / CREDO 2.0 / CLARUS / CREDO 2.0, / ,1996 - 2001,R134a,700 ± 50,200
車型 / Car model /  Car model,Forte / Forte, / ,2010 - 2013,R134a,700 ± 20,130 ± 10
車型 / Car model /  Car model,MAGENTIS / OPTIMA / MAGENTIS / OPTIMA, / ,2001 - 2005,R134a,660 ± 20,150
車型 / Car model /  Car model,MAGENTIS / MAGENTIS, / ,2006 -,R134a,500,150
車型 / Car model /  Car model,MENTOR / SEPHIA / SHUMA / MENTOR / SEPHIA / SHUMA, / ,1996 - 2000,R134a,700,見規格 / See Spec
車型 / Car model /  Car model,MENTOR / SEPHIA / SHUMA / MENTOR / SEPHIA / SHUMA, / ,2000 - 2004,R134a,700 ± 25,120
車型 / Car model /  Car model,Optima / Optima, / ,2002 - 2007,R134a,670 ± 20,120 ± 10
車型 / Car model /  Car model,Optima / Optima, / ,2007 - 2012,R134a,550 ± 20,100 ± 10
車型 / Car model /  Car model,Optima / Optima, / ,2012 - 2019,R134a,570 ± 20,100 ± 10
車型 / Car model /  Car model,Picanto / Picanto, / ,2004 - 2011,R134a,450 ± 10,90 ± 10
車型 / Car model /  Car model,Picanto / Picanto, / ,2011 - 2015,R134a,370 ± 10,70 ± 10
車型 / Car model /  Car model,Pregio 1Blower/2Blower / Pregio 1Blower/2Blower, / ,1999 - 2007,R134a,850 ± 1350,150 ± 10
車型 / Car model /  Car model,Rio / Rio, / ,2002 - 2005,R134a,650 ± 20,100 ± 10
車型 / Car model /  Car model,Rio / Rio, / ,2005 - 2011,R134a,500 ± 10,100 ± 10
車型 / Car model /  Car model,Rio / Rio, / ,2011 - 2015,R134a,420 ± 10,80 ± 10
車型 / Car model /  Car model,Ronda / Ronda, / ,2008 - 2013,R134a,450 ± 10,90 ± 10
車型 / Car model /  Car model,SHUMA / SHUMA, / ,2001 - 2004,R134a,700,140
車型 / Car model /  Car model,Seltos / Seltos, / ,2021 -,R134a,480 ± 10,90 ± 10
車型 / Car model /  Car model,Sephia / Sephia, / ,1994 - 2000,R134a,680 ± 20,120 ± 10
車型 / Car model /  Car model,SORENTO / SORENTO, / ,2002 - 2009,R134a,600 ± 25,200
車型 / Car model /  Car model,SORENTO / SORENTO, / ,2009 -,R134a,600,120
車型 / Car model /  Car model,SORENTO / SORENTO,with rear AC / with rear AC,2009 -,R134a,750,180
車型 / Car model /  Car model,SOUL / SOUL, / ,2009 -,R134a,500,105
車型 / Car model /  Car model,Sorento / Sorento, / ,2002 - 2006,R134a,600 ± 20,110 ± 10
車型 / Car model /  Car model,Sorento / Sorento, / ,2006 - 2010,R134a,540 ± 10,100 ± 10
車型 / Car model /  Car model,Sorento / Sorento, / ,2010 - 2015,R134a,600 ± 20,110 ± 10
車型 / Car model /  Car model,Spectra / Spectra, / ,2000 - 2006,R134a,700 ± 20,120 ± 10
車型 / Car model /  Car model,SPORTAGE / SPORTAGE, / ,2004 - 2010,R134a,510 ± 25,125 ± 10
車型 / Car model /  Car model,SPORTAGE DIESEL / SPORTAGE DIESEL, / ,2004 - 2010,R134a,510 ± 25,200 ± 10
